source,game,language,itemType,isActive,count,first_created,last_created
onepiecedb.io,ONE_PIECE,en,CARD,true,2488,Sat May 30 2026 11:39:44 GMT+0700 (Indochina Time),Sat May 30 2026 11:39:53 GMT+0700 (Indochina Time)
pokemoncard.io,POKEMON,en,CARD,true,22451,Sat May 30 2026 10:32:11 GMT+0700 (Indochina Time),Sat May 30 2026 11:39:21 GMT+0700 (Indochina Time)
tcgtracking,CARDFIGHT_VANGUARD,en,CARD,true,25043,Fri May 29 2026 19:02:18 GMT+0700 (Indochina Time),Fri May 29 2026 19:05:03 GMT+0700 (Indochina Time)
tcgtracking,DRAGON_BALL_SUPER,en,CARD,true,11692,Fri May 29 2026 19:09:50 GMT+0700 (Indochina Time),Fri May 29 2026 19:10:35 GMT+0700 (Indochina Time)
tcgtracking,FLESH_AND_BLOOD,en,CARD,true,9628,Fri May 29 2026 19:11:45 GMT+0700 (Indochina Time),Fri May 29 2026 19:12:25 GMT+0700 (Indochina Time)
tcgtracking,LORCANA,en,CARD,true,3048,Fri May 29 2026 19:39:51 GMT+0700 (Indochina Time),Fri May 29 2026 19:40:03 GMT+0700 (Indochina Time)
tcgtracking,ONE_PIECE,en,CARD,true,6445,Fri May 29 2026 19:38:58 GMT+0700 (Indochina Time),Fri May 29 2026 19:39:33 GMT+0700 (Indochina Time)
tcgtracking,POKEMON,en,CARD,true,29377,Fri May 29 2026 04:19:51 GMT+0700 (Indochina Time),Sat May 30 2026 03:16:34 GMT+0700 (Indochina Time)
tcgtracking,POKEMON,ja,CARD,true,29486,Fri May 29 2026 19:16:34 GMT+0700 (Indochina Time),Fri May 29 2026 19:19:16 GMT+0700 (Indochina Time)
tcgtracking,POKEMON_JAPAN,en,CARD,true,29557,Sat May 30 2026 03:22:16 GMT+0700 (Indochina Time),Sat May 30 2026 08:47:47 GMT+0700 (Indochina Time)
tcgtracking,RIFTBOUND,en,CARD,true,1158,Fri May 29 2026 19:40:20 GMT+0700 (Indochina Time),Fri May 29 2026 19:40:24 GMT+0700 (Indochina Time)
tcgtracking,WEISS_SCHWARZ,en,CARD,true,29907,Fri May 29 2026 19:06:53 GMT+0700 (Indochina Time),Fri May 29 2026 19:08:33 GMT+0700 (Indochina Time)
tcgtracking,YUGIOH,en,CARD,true,45564,Fri May 29 2026 18:51:20 GMT+0700 (Indochina Time),Fri May 29 2026 18:55:18 GMT+0700 (Indochina Time)
