comparison,sample_type,source,game,language,sourceItemId,tcgplayer_id,name,setId,setName,localId,cardNumber,rarity
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613779,613779,Alto Mare's Latias,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613780,613780,Alto Mare's Latios,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613777,613777,Crystal Tower's Entei,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613776,613776,Explosive Birth Lugia,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613785,613785,Prince of the Sea Manaphy,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613781,613781,Seven Nights Jirachi,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613775,613775,Striking Back Mewtwo,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613778,613778,Timeless Celebi,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613783,613783,Tree of Beginning's Mew,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613782,613782,Visitor Deoxys,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613784,613784,Wave-Guiding Hero Lucario,24146,10th Movie Commemoration Set,,,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613766,613766,Icy Sky's Shaymin,24145,11th Movie Commemoration Set,001/009,001/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613767,613767,Piplup,24145,11th Movie Commemoration Set,002/009,002/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613768,613768,Pikachu,24145,11th Movie Commemoration Set,003/009,003/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613769,613769,Magnezone,24145,11th Movie Commemoration Set,004/009,004/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613770,613770,Reverse World's Giratina,24145,11th Movie Commemoration Set,005/009,005/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613771,613771,Mamoswine,24145,11th Movie Commemoration Set,006/009,006/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613772,613772,Shieldon,24145,11th Movie Commemoration Set,007/009,007/009,None
pokemon,leftOnlyByTcgplayer,tcgtracking,POKEMON,ja,85:613773,613773,Dialga,24145,11th Movie Commemoration Set,008/009,008/009,None
