id,source,game,language,sourceSetId,setCode,name,reason,bestProviderName,score,currentRiskReasons
cmpt0x3mt0000q0rmyfy5vvp5,tcgtracking,ONE_PIECE,en,68:24708,SD01,Set Sail Deck Set,no_authoritative_set_image_provider_for_lane,,,
cmpt0x7a20005q0rmsbm5yts7,tcgtracking,ONE_PIECE,en,68:24678,ST-30,Starter Deck EX: Luffy & Ace,no_authoritative_set_image_provider_for_lane,,,
cmpt0xcan0028q0rmgtptxzd1,tcgtracking,ONE_PIECE,en,68:24664,OP16,The Time of Battle,no_authoritative_set_image_provider_for_lane,,,
cmpt0xggr00b5q0rm7p6xikbo,tcgtracking,ONE_PIECE,en,68:24677,OP16 RE,The Time of Battle Release Event Cards,no_authoritative_set_image_provider_for_lane,,,
cmpt0xhft00b6q0rmqcqvdhjh,tcgtracking,ONE_PIECE,en,68:24637,OP15-EB04,Adventure on Kami's Island,no_authoritative_set_image_provider_for_lane,,,
cmpt0xncq00mzq0rm33fzydte,tcgtracking,ONE_PIECE,en,68:24638,OP15 RE,Adventure on Kami's Island Release Event Cards,no_authoritative_set_image_provider_for_lane,,,
cmpt0xq2f00s0q0rmtg0mqw3z,tcgtracking,ONE_PIECE,en,68:24545,EB-03,Extra Booster: One Piece Heroines Edition,no_authoritative_set_image_provider_for_lane,,,
cmpt0xt7k00xvq0rm6ekar9mb,tcgtracking,ONE_PIECE,en,68:24575,ST-29,Starter Deck 29: Egghead,no_authoritative_set_image_provider_for_lane,,,
cmpt0xurz00zsq0rm97aum1qx,tcgtracking,ONE_PIECE,en,68:24537,OP14,The Azure Sea's Seven,no_authoritative_set_image_provider_for_lane,,,
cmpt0y09q01bvq0rmzylsmtfk,tcgtracking,ONE_PIECE,en,68:24579,OP14 RE,The Azure Sea's Seven Release Event Cards,no_authoritative_set_image_provider_for_lane,,,
cmpt0y3pe01guq0rm8lobx98m,tcgtracking,ONE_PIECE,en,68:24303,OP13,Carrying On His Will,no_authoritative_set_image_provider_for_lane,,,
cmpt0y8ce01qxq0rmhldaimih,tcgtracking,ONE_PIECE,en,68:24498,OP13 ANN,Carrying On His Will: 3rd Anniversary Tournament Cards,no_authoritative_set_image_provider_for_lane,,,
cmpt0yaxq01vcq0rmtuca4wmi,tcgtracking,ONE_PIECE,en,68:24306,LT-01,Learn Together Deck Set,no_authoritative_set_image_provider_for_lane,,,
